iter	Passed	Remaining
0	0	342
1	1	314
2	1	282
3	2	272
4	2	268
5	3	271
6	3	257
7	4	250
8	4	245
9	4	243
10	5	239
11	5	238
12	6	233
13	6	228
14	6	226
15	8	249
16	8	247
17	9	265
18	10	260
19	10	256
20	11	255
21	11	252
22	12	250
23	12	248
24	12	244
25	13	242
26	13	240
27	14	239
28	14	237
29	15	235
30	15	235
31	16	234
32	16	232
33	16	232
34	17	230
35	17	229
36	18	229
37	18	228
38	19	226
39	19	225
40	20	225
41	21	233
42	21	233
43	22	232
44	22	231
45	23	229
46	23	228
47	24	227
48	24	227
49	25	225
50	25	224
51	25	223
52	26	222
53	26	221
54	27	221
55	27	219
56	28	218
57	28	218
58	29	216
59	29	216
60	29	215
61	30	214
62	30	213
63	31	212
64	31	211
65	32	210
66	32	210
67	33	209
68	33	209
69	33	208
70	34	207
71	34	207
72	35	206
73	35	205
74	36	204
75	36	203
76	37	207
77	38	207
78	38	206
79	39	209
80	40	208
81	40	207
82	41	206
83	41	206
84	42	205
85	42	204
86	43	204
87	43	203
88	43	202
89	44	201
90	44	200
91	45	200
92	46	203
93	46	202
94	47	201
95	47	200
96	48	200
97	48	199
98	49	199
99	49	198
100	50	198
101	50	197
102	51	199
103	52	199
104	52	198
105	53	197
106	53	197
107	54	196
108	54	196
109	55	195
110	55	195
111	56	194
112	56	193
113	57	193
114	57	193
115	58	192
116	59	194
117	59	193
118	60	193
119	60	192
120	61	191
121	61	191
122	62	190
123	62	190
124	63	189
125	63	189
126	64	188
127	64	188
128	65	187
129	65	186
130	66	186
131	66	185
132	66	184
133	67	184
134	67	183
135	68	182
136	68	182
137	69	181
138	69	181
139	70	180
140	70	180
141	71	179
142	71	178
143	72	178
144	72	178
145	74	179
146	74	178
147	74	178
148	75	177
149	75	176
150	76	176
151	76	175
152	76	174
153	77	173
154	77	173
155	78	172
156	78	171
157	79	171
158	79	170
159	80	170
160	80	169
161	81	169
162	81	168
163	82	169
164	83	168
165	83	168
166	83	167
167	84	166
168	84	166
169	85	165
170	85	164
171	86	164
172	86	163
173	86	162
174	87	162
175	87	161
176	88	161
177	88	160
178	89	159
179	89	159
180	90	158
181	90	157
182	90	157
183	91	156
184	91	156
185	92	155
186	92	154
187	93	154
188	93	153
189	94	153
190	94	152
191	94	152
192	95	151
193	95	151
194	96	150
195	96	149
196	97	149
197	97	148
198	97	148
199	98	147
200	98	147
201	99	146
202	99	146
203	100	145
204	100	145
205	101	144
206	101	143
207	102	143
208	102	142
209	102	142
210	103	141
211	103	141
212	104	140
213	105	140
214	106	140
215	106	140
216	106	139
217	107	138
218	107	138
219	108	137
220	108	137
221	109	137
222	109	136
223	110	135
224	110	135
225	111	134
226	111	134
227	112	133
228	112	133
229	112	132
230	113	132
231	113	131
232	114	131
233	114	130
234	115	129
235	115	129
236	116	128
237	117	129
238	117	128
239	118	127
240	118	127
241	118	126
242	119	126
243	119	125
244	120	125
245	120	124
246	121	124
247	121	123
248	122	123
249	122	122
250	122	121
251	123	121
252	124	121
253	124	120
254	124	120
255	125	119
256	125	119
257	126	118
258	126	117
259	127	117
260	127	116
261	128	116
262	128	115
263	129	115
264	129	114
265	130	114
266	130	113
267	131	113
268	131	112
269	131	112
270	132	111
271	132	111
272	133	110
273	133	110
274	134	109
275	134	109
276	135	108
277	135	108
278	135	107
279	136	107
280	136	106
281	137	106
282	137	105
283	138	105
284	138	104
285	139	104
286	140	104
287	140	103
288	141	103
289	142	103
290	143	102
291	143	102
292	143	101
293	144	101
294	144	100
295	145	100
296	145	99
297	146	99
298	146	98
299	146	97
300	147	97
301	147	96
302	148	96
303	148	95
304	149	95
305	149	95
306	150	94
307	150	94
308	151	93
309	151	92
310	152	92
311	152	91
312	153	91
313	153	90
314	154	90
315	154	89
316	154	89
317	155	88
318	155	88
319	156	87
320	156	87
321	157	86
322	157	86
323	158	85
324	158	85
325	159	84
326	159	84
327	160	83
328	160	83
329	160	82
330	161	82
331	161	81
332	162	81
333	162	80
334	163	80
335	164	80
336	164	79
337	165	79
338	166	78
339	166	78
340	167	78
341	168	77
342	168	77
343	169	76
344	169	76
345	169	75
346	170	75
347	170	74
348	171	74
349	171	73
350	172	73
351	172	72
352	173	72
353	173	71
354	174	71
355	174	70
356	175	70
357	175	69
358	175	69
359	176	68
360	176	68
361	177	67
362	177	67
363	178	66
364	178	66
365	179	65
366	180	65
367	180	64
368	181	64
369	181	63
370	182	63
371	183	63
372	183	62
373	184	62
374	184	61
375	185	61
376	185	60
377	185	59
378	186	59
379	186	58
380	187	58
381	188	58
382	188	57
383	189	57
384	189	56
385	190	56
386	190	55
387	191	55
388	191	54
389	191	54
390	192	53
391	192	53
392	194	52
393	194	52
394	195	51
395	195	51
396	195	50
397	196	50
398	196	49
399	197	49
400	197	48
401	198	48
402	198	47
403	199	47
404	199	46
405	200	46
406	200	45
407	201	45
408	201	44
409	201	44
410	202	43
411	203	43
412	203	42
413	203	42
414	204	41
415	204	41
416	205	40
417	205	40
418	205	39
419	206	39
420	206	38
421	207	38
422	207	37
423	208	37
424	208	36
425	209	36
426	209	35
427	210	35
428	210	34
429	210	34
430	211	33
431	211	33
432	212	32
433	212	32
434	213	31
435	213	31
436	213	30
437	214	30
438	214	29
439	215	29
440	215	28
441	216	28
442	216	27
443	216	27
444	217	26
445	217	26
446	218	25
447	218	25
448	219	24
449	219	24
450	219	23
451	220	23
452	220	22
453	221	22
454	221	21
455	222	21
456	222	20
457	223	20
458	223	19
459	223	19
460	224	18
461	224	18
462	225	18
463	225	17
464	226	17
465	226	16
466	226	16
467	227	15
468	227	15
469	228	14
470	228	14
471	229	13
472	229	13
473	230	12
474	230	12
475	230	11
476	231	11
477	231	10
478	232	10
479	232	9
480	233	9
481	233	8
482	234	8
483	234	7
484	234	7
485	235	6
486	235	6
487	236	5
488	236	5
489	237	4
490	237	4
491	237	3
492	239	3
493	239	2
494	241	2
495	241	1
496	241	1
497	242	0
498	242	0
499	243	0
